epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.139,3.76421,5.13706,3.45035,0.00082,0.24561,0.00068,0.0002,4.2247,3.97767,5.74147,0.00329825,0.00329825,0.00329825
2,120.337,2.92454,3.08406,2.47235,0.06452,0.10526,0.02213,0.00529,2.86096,3.99547,2.63305,0.00660174,0.00660174,0.00660174
3,153.573,2.77359,2.79232,2.26575,0.19167,0.29121,0.13665,0.033,3.07111,2.67637,2.81807,0.00987523,0.00987523,0.00987523
4,185.756,2.63252,2.46534,2.15324,0.74952,0.22222,0.29792,0.08441,2.73749,2.76648,2.40747,0.009865,0.009865,0.009865
5,217.435,2.52901,2.43042,2.06383,0.49043,0.32082,0.27416,0.07101,2.66074,2.71677,2.37019,0.00982,0.00982,0.00982
6,249.404,2.49432,2.20992,2.0529,0.52005,0.32749,0.28925,0.07668,2.85065,2.5158,2.4474,0.009775,0.009775,0.009775
7,280.012,2.45938,2.08484,1.9763,0.7329,0.43275,0.46328,0.16468,2.70095,2.13571,2.35746,0.00973,0.00973,0.00973
8,311.431,2.37561,1.97123,1.93401,0.64025,0.4152,0.44216,0.12192,2.9494,3.46442,2.56099,0.009685,0.009685,0.009685
9,343.509,2.32959,1.89741,1.88011,0.71159,0.47616,0.59043,0.18027,2.51359,1.97654,2.19844,0.00964,0.00964,0.00964
10,379.703,2.29793,1.81305,1.84439,0.73527,0.48727,0.63347,0.22197,2.31356,1.9989,2.06492,0.009595,0.009595,0.009595
11,412.355,2.28197,1.79614,1.86077,0.83303,0.52518,0.59884,0.2064,2.51128,1.85767,2.21447,0.00955,0.00955,0.00955
12,442.46,2.21908,1.76247,1.83184,0.7539,0.53216,0.60431,0.19147,2.48411,1.8995,2.19241,0.009505,0.009505,0.009505
13,474.466,2.20581,1.70795,1.80395,0.72198,0.53153,0.55601,0.15587,2.74604,2.0575,2.45095,0.00946,0.00946,0.00946
14,508.114,2.18148,1.66458,1.77532,0.69702,0.5614,0.58966,0.17341,2.4458,1.79903,2.1661,0.009415,0.009415,0.009415
15,541.158,2.2133,1.70776,1.81491,0.72976,0.5614,0.5971,0.19693,2.39736,1.99071,2.1549,0.00937,0.00937,0.00937
16,574.848,2.17796,1.62844,1.77879,0.76978,0.58663,0.64129,0.24068,2.44304,1.72479,2.15485,0.009325,0.009325,0.009325
17,608.296,2.13115,1.56779,1.73893,0.77501,0.51462,0.56955,0.19796,2.44106,2.00965,2.14508,0.00928,0.00928,0.00928
18,641.055,2.16845,1.57006,1.75783,0.75119,0.59064,0.62727,0.22139,2.2979,1.73467,2.05854,0.009235,0.009235,0.009235
19,673.411,2.11683,1.52246,1.72269,0.7964,0.56725,0.6564,0.22288,2.3154,1.6413,2.06132,0.00919,0.00919,0.00919
