epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.99,3.82188,4.81434,3.4397,0.00153,0.40936,0.00185,0.00049,3.84066,3.83776,3.13608,0.00329825,0.00329825,0.00329825
2,107.568,2.93079,3.06951,2.46416,0.12981,0.21053,0.065,0.0187,2.73009,4.09944,2.55649,0.00660174,0.00660174,0.00660174
3,138.296,2.75468,2.79702,2.25233,0.42067,0.15712,0.13754,0.03957,3.07664,5.37078,2.65233,0.00987523,0.00987523,0.00987523
4,168.689,2.60147,2.44523,2.12674,0.53675,0.38596,0.39967,0.13298,2.49678,4.33235,2.24169,0.009865,0.009865,0.009865
5,200.306,2.51953,2.33693,2.02954,0.43539,0.30409,0.31233,0.0987,2.5494,2.19224,2.25102,0.00982,0.00982,0.00982
6,231.935,2.42455,2.10689,1.98285,0.65919,0.48538,0.48585,0.1551,2.44245,2.01077,2.1637,0.009775,0.009775,0.009775
7,262.944,2.36773,2.01086,1.90549,0.6463,0.56635,0.60093,0.1675,2.44298,1.96224,2.18116,0.00973,0.00973,0.00973
8,293.307,2.29824,1.8723,1.86492,0.71078,0.50292,0.57273,0.1777,2.4395,1.81888,2.157,0.009685,0.009685,0.009685
9,323.025,2.27278,1.84489,1.84034,0.56989,0.50877,0.46357,0.14628,2.58361,2.10299,2.28984,0.00964,0.00964,0.00964
10,352.649,2.22289,1.75842,1.79989,0.69109,0.49708,0.53245,0.17994,2.37519,1.91821,2.10251,0.009595,0.009595,0.009595
11,382.294,2.26082,1.79915,1.83383,0.5786,0.45768,0.43796,0.13404,2.53337,2.46832,2.20928,0.00955,0.00955,0.00955
12,412.12,2.21802,1.73966,1.82701,0.68484,0.57184,0.62856,0.22315,2.32796,1.79801,2.07281,0.009505,0.009505,0.009505
13,442.317,2.20668,1.70507,1.79737,0.61559,0.5614,0.57638,0.19455,2.39752,1.96711,2.10956,0.00946,0.00946,0.00946
14,472.138,2.12391,1.63206,1.74305,0.47899,0.54971,0.53943,0.16792,2.44972,1.86923,2.18165,0.009415,0.009415,0.009415
15,502.113,2.16087,1.6218,1.78161,0.59784,0.62573,0.59661,0.20046,2.40226,1.88662,2.17822,0.00937,0.00937,0.00937
16,532.06,2.12806,1.59136,1.74813,0.73536,0.4269,0.53031,0.18259,2.49884,2.23729,2.22374,0.009325,0.009325,0.009325
17,561.714,2.13185,1.60132,1.73528,0.71505,0.55766,0.64455,0.25142,2.30026,1.93175,2.07143,0.00928,0.00928,0.00928
18,591.383,2.12207,1.56016,1.7396,0.72327,0.52632,0.62889,0.22928,2.22666,1.81417,2.00284,0.009235,0.009235,0.009235
19,620.85,2.09287,1.55985,1.71351,0.75558,0.67836,0.70141,0.26675,2.19108,1.63045,2.00094,0.00919,0.00919,0.00919
20,651.309,2.05184,1.45935,1.6952,0.62741,0.59064,0.54074,0.20709,2.29545,1.82373,2.05508,0.009145,0.009145,0.009145
21,682.369,2.07228,1.45512,1.70699,0.7316,0.61404,0.63847,0.25445,2.21309,1.66297,1.9992,0.0091,0.0091,0.0091
22,713.52,2.03375,1.42225,1.69298,0.63821,0.60234,0.62604,0.19675,2.33901,1.78422,2.09042,0.009055,0.009055,0.009055
23,744.565,2.06051,1.43135,1.702,0.76603,0.54971,0.63464,0.24013,2.3577,1.68722,2.10734,0.00901,0.00901,0.00901
24,775.564,2.04692,1.40841,1.69525,0.63459,0.66015,0.66784,0.25427,2.1223,1.61592,1.95752,0.008965,0.008965,0.008965
25,805.743,1.99885,1.40792,1.65825,0.76368,0.67836,0.69134,0.24535,2.39601,1.79917,2.11905,0.00892,0.00892,0.00892
26,836.317,2.01183,1.39754,1.68841,0.77969,0.60234,0.68173,0.26692,2.23273,1.69184,2.03325,0.008875,0.008875,0.008875
27,866.333,2.03195,1.40885,1.68292,0.66357,0.66667,0.65441,0.26153,2.16803,1.68672,1.97315,0.00883,0.00883,0.00883
28,896.917,2.03128,1.39553,1.69557,0.70342,0.59649,0.65871,0.25909,2.2491,1.81262,2.03164,0.008785,0.008785,0.008785
29,927.458,2.00625,1.36888,1.69516,0.63658,0.64912,0.63594,0.24586,2.21177,1.64077,2.01328,0.00874,0.00874,0.00874
30,957.855,2.00179,1.33257,1.6641,0.7994,0.55556,0.66613,0.27494,2.21167,1.65785,2.01462,0.008695,0.008695,0.008695
31,988.437,1.98502,1.32082,1.65539,0.74986,0.62573,0.67373,0.26552,2.24591,1.52923,2.02215,0.00865,0.00865,0.00865
32,1019.24,2.03617,1.36615,1.68698,0.81975,0.61988,0.72189,0.28078,2.23459,1.55341,2.02279,0.008605,0.008605,0.008605
33,1049.58,1.98902,1.32232,1.65385,0.78082,0.66665,0.72022,0.26485,2.30817,1.62439,2.04862,0.00856,0.00856,0.00856
34,1080.19,1.97636,1.29433,1.64358,0.74804,0.61988,0.68673,0.25933,2.32548,1.63242,2.10407,0.008515,0.008515,0.008515
35,1110.5,1.96588,1.31672,1.66394,0.7297,0.6157,0.6858,0.26407,2.17659,1.63266,1.98931,0.00847,0.00847,0.00847
36,1142.49,2.00932,1.31858,1.68668,0.73834,0.61058,0.70539,0.24995,2.25446,1.59982,2.01989,0.008425,0.008425,0.008425
37,1174.56,1.95667,1.28789,1.65468,0.82156,0.59236,0.712,0.29359,2.18777,1.63298,1.99518,0.00838,0.00838,0.00838
38,1207.4,1.95432,1.24695,1.65807,0.71098,0.5035,0.63729,0.26908,2.25055,1.84183,2.07084,0.008335,0.008335,0.008335
39,1238.62,1.94607,1.25519,1.64233,0.75923,0.627,0.6746,0.26904,2.21045,1.70199,1.98601,0.00829,0.00829,0.00829
40,1268.97,1.93822,1.22129,1.623,0.75888,0.69006,0.72081,0.26123,2.28676,1.51043,2.06844,0.008245,0.008245,0.008245
41,1299.31,1.93787,1.23062,1.61894,0.67944,0.67251,0.69844,0.26936,2.22993,1.61977,1.99995,0.0082,0.0082,0.0082
42,1329.47,1.95991,1.24363,1.64083,0.79029,0.69006,0.75228,0.29291,2.37652,1.63047,2.12924,0.008155,0.008155,0.008155
43,1360.1,1.94966,1.2282,1.61231,0.8212,0.66667,0.70999,0.29054,2.229,1.56659,2.013,0.00811,0.00811,0.00811
44,1390.71,1.89618,1.21535,1.63132,0.7758,0.52047,0.6611,0.24492,2.25275,1.97522,2.04298,0.008065,0.008065,0.008065
45,1421.24,1.92897,1.19851,1.61371,0.69276,0.67247,0.70473,0.28469,2.23237,1.76253,2.03948,0.00802,0.00802,0.00802
46,1451.92,1.91525,1.21431,1.62342,0.69644,0.69591,0.7045,0.28226,2.18092,1.56078,2.00054,0.007975,0.007975,0.007975
