epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0812,3.83516,5.36737,3.41555,0.89116,0.11111,0.18359,0.05712,2.80115,3.13886,2.91695,0.00329825,0.00329825,0.00329825
2,131.147,2.92986,3.31407,2.35396,0.00276,0.03509,0.00111,0.00034,nan,nan,nan,0.00660174,0.00660174,0.00660174
3,175.631,2.79307,3.01812,2.22745,0.17848,0.31579,0.20586,0.06476,2.6583,24.8332,2.48258,0.00987523,0.00987523,0.00987523
4,219.573,2.67847,2.78886,2.12543,0.19905,0.39766,0.14224,0.03855,2.63051,3.78955,2.3034,0.009865,0.009865,0.009865
5,261.82,2.59864,2.68016,2.04532,0.44689,0.30409,0.27692,0.07984,2.54302,2.95181,2.24539,0.00982,0.00982,0.00982
6,303.477,2.54446,2.54109,2.05249,0.51432,0.31579,0.27848,0.10435,2.46759,2.7687,2.18171,0.009775,0.009775,0.009775
7,346.037,2.53917,2.37794,1.9792,0.4728,0.38596,0.34183,0.10919,2.57981,3.41119,2.25499,0.00973,0.00973,0.00973
8,387.817,2.48972,2.397,1.95086,0.40479,0.36842,0.28895,0.10529,2.6695,2.72323,2.34581,0.009685,0.009685,0.009685
9,429.922,2.44326,2.22909,1.9157,0.56635,0.38189,0.34235,0.0923,2.60082,3.74742,2.25354,0.00964,0.00964,0.00964
10,471.844,2.40947,2.1813,1.88113,0.30195,0.29825,0.22518,0.06119,2.57221,2.55633,2.24321,0.009595,0.009595,0.009595
11,514.205,2.43382,2.27329,1.92138,0.65706,0.39181,0.41394,0.1543,2.43268,2.51434,2.15047,0.00955,0.00955,0.00955
12,556.385,2.35817,2.15951,1.88412,0.47886,0.4152,0.39073,0.10723,2.60743,2.39175,2.26566,0.009505,0.009505,0.009505
13,598.453,2.37805,2.07584,1.87203,0.41436,0.34757,0.36486,0.10121,2.46744,2.37075,2.19597,0.00946,0.00946,0.00946
14,642.532,2.36486,2.04599,1.8572,0.30975,0.42105,0.28591,0.08824,2.32595,2.39387,2.08707,0.009415,0.009415,0.009415
15,685.342,2.34436,2.05304,1.86975,0.52724,0.47953,0.45106,0.12311,2.51827,2.07625,2.22227,0.00937,0.00937,0.00937
16,730.011,2.31644,1.95278,1.83462,0.57659,0.45614,0.43829,0.1488,2.40402,2.15716,2.10028,0.009325,0.009325,0.009325
17,773.708,2.23985,1.88591,1.79304,0.69631,0.5614,0.57414,0.18018,2.33875,2.36217,2.08411,0.00928,0.00928,0.00928
18,816.477,2.2931,1.90949,1.81822,0.62727,0.46255,0.49049,0.1461,2.37577,2.227,2.11701,0.009235,0.009235,0.009235
19,858.905,2.24206,1.85501,1.79042,0.57981,0.5848,0.46694,0.17565,2.30301,2.10026,2.04999,0.00919,0.00919,0.00919
20,901.575,2.23834,1.83488,1.78717,0.48239,0.4796,0.35633,0.10919,2.48184,2.6269,2.22778,0.009145,0.009145,0.009145
21,944.373,2.24208,1.81875,1.7791,0.6575,0.54386,0.58035,0.18951,2.34697,1.90851,2.11951,0.0091,0.0091,0.0091
22,986.733,2.21748,1.78174,1.77105,0.69072,0.52242,0.58193,0.21063,2.27174,2.08219,2.02115,0.009055,0.009055,0.009055
23,1028.96,2.20173,1.73095,1.76127,0.59985,0.5848,0.54993,0.18921,2.43495,1.88547,2.13987,0.00901,0.00901,0.00901
24,1071.65,2.17552,1.71259,1.73169,0.53729,0.59649,0.57427,0.21062,2.28681,1.83426,2.03045,0.008965,0.008965,0.008965
25,1115.31,2.1151,1.69919,1.72116,0.50458,0.542,0.47122,0.17809,2.27426,2.10359,2.05524,0.00892,0.00892,0.00892
26,1159.11,2.15391,1.67346,1.7662,0.63335,0.5731,0.61498,0.25205,2.16731,2.05969,1.97745,0.008875,0.008875,0.008875
27,1203.17,2.13918,1.69468,1.72968,0.70731,0.54386,0.60832,0.19385,2.26504,1.97653,2.03556,0.00883,0.00883,0.00883
28,1246.12,2.1768,1.72654,1.76012,0.66573,0.43095,0.44945,0.16555,2.41483,2.33857,2.16961,0.008785,0.008785,0.008785
29,1290.52,2.17292,1.69887,1.76928,0.72832,0.5848,0.62599,0.22906,2.34246,1.86902,2.10018,0.00874,0.00874,0.00874
30,1332.8,2.16923,1.70124,1.75804,0.73914,0.59649,0.65133,0.24547,2.25181,1.76023,2.00988,0.008695,0.008695,0.008695
31,1374.74,2.12427,1.61467,1.72305,0.69487,0.62591,0.64485,0.23232,2.28631,1.62262,2.08462,0.00865,0.00865,0.00865
32,1417,2.12937,1.61063,1.73605,0.67074,0.65522,0.64048,0.22448,2.30585,1.93639,2.08221,0.008605,0.008605,0.008605
33,1459.46,2.1407,1.59835,1.7341,0.6747,0.56725,0.59152,0.21421,2.28048,1.84159,2.07759,0.00856,0.00856,0.00856
34,1501.83,2.10968,1.56059,1.71242,0.78801,0.60866,0.68748,0.29176,2.23018,1.68057,2.02158,0.008515,0.008515,0.008515
35,1543.3,2.09726,1.51976,1.7223,0.78433,0.5614,0.62406,0.24582,2.27429,1.89724,2.07726,0.00847,0.00847,0.00847
36,1585.64,2.13397,1.57215,1.73286,0.71078,0.63236,0.6896,0.26927,2.32697,1.63927,2.07956,0.008425,0.008425,0.008425
37,1629.55,2.07813,1.53181,1.72179,0.72414,0.60234,0.64882,0.26501,2.17049,1.82963,1.98632,0.00838,0.00838,0.00838
38,1673.19,2.10876,1.48906,1.72336,0.77736,0.59649,0.6662,0.26322,2.18976,1.62417,2.0028,0.008335,0.008335,0.008335
39,1714.56,2.08031,1.51126,1.7023,0.83146,0.62573,0.69214,0.27377,2.22659,1.71917,2.00556,0.00829,0.00829,0.00829
40,1755.7,2.05398,1.44638,1.67229,0.79988,0.64327,0.69139,0.25296,2.39539,1.66144,2.16593,0.008245,0.008245,0.008245
41,1796.79,2.05394,1.44633,1.66737,0.78475,0.66667,0.73456,0.27586,2.18775,1.63359,1.97119,0.0082,0.0082,0.0082
42,1837.95,2.08193,1.46026,1.69289,0.79321,0.65497,0.72218,0.27424,2.16599,1.53169,1.96923,0.008155,0.008155,0.008155
43,1879.05,2.07008,1.44851,1.66882,0.70255,0.65497,0.69725,0.25223,2.25576,1.60271,2.05323,0.00811,0.00811,0.00811
44,1921.32,2.03022,1.44634,1.69926,0.72505,0.66311,0.69687,0.2696,2.20248,1.616,2.00452,0.008065,0.008065,0.008065
45,1963.5,2.04736,1.39662,1.6625,0.66303,0.66082,0.65842,0.25953,2.28136,1.71966,2.03699,0.00802,0.00802,0.00802
46,2005.37,2.02249,1.41943,1.67079,0.81383,0.68421,0.71335,0.27756,2.2132,1.46556,2.00619,0.007975,0.007975,0.007975
47,2046.91,2.00045,1.34797,1.63051,0.80601,0.61404,0.66623,0.26013,2.27183,1.63717,2.06044,0.00793,0.00793,0.00793
48,2089.64,2.03043,1.36661,1.6641,0.76995,0.58718,0.64125,0.22711,2.32012,1.64454,2.07546,0.007885,0.007885,0.007885
49,2133.22,2.02285,1.37789,1.65801,0.75406,0.69591,0.69054,0.25802,2.21581,1.54608,2.00795,0.00784,0.00784,0.00784
50,2176.03,2.04039,1.36658,1.68524,0.84017,0.67836,0.72288,0.28808,2.20623,1.51689,2.02048,0.007795,0.007795,0.007795
51,2218.93,2.0612,1.35228,1.67397,0.78625,0.7076,0.70226,0.24722,2.38277,1.56808,2.10785,0.00775,0.00775,0.00775
52,2261.49,2.01211,1.33563,1.65468,0.77705,0.61148,0.70194,0.25716,2.29093,1.61626,2.06431,0.007705,0.007705,0.007705
53,2304.29,1.98869,1.3069,1.66248,0.82657,0.71345,0.7373,0.30925,2.1481,1.43623,1.97404,0.00766,0.00766,0.00766
54,2346.85,2.02019,1.33128,1.67071,0.75286,0.64327,0.68292,0.2682,2.18595,1.62699,1.97136,0.007615,0.007615,0.007615
55,2389.13,2.01094,1.34065,1.64296,0.86323,0.68421,0.69573,0.28608,2.27597,1.46988,2.05822,0.00757,0.00757,0.00757
